Username,Owner,Followers (Millions),Profession/Activity,Country
@instagram,Instagram†,694,Social media platform,United States
@cristiano,Cristiano Ronaldo,667,Footballer,Portugal
@leomessi,Lionel Messi,507,Footballer,Argentina
@selenagomez,Selena Gomez,417,Musician and actress,United States
@kyliejenner,Kylie Jenner,392,Media personality,United States
@therock,Dwayne Johnson,391,Actor and wrestler,United States
@arianagrande,Ariana Grande,372,Musician and actress,United States
@kimkardashian,Kim Kardashian,354,Media personality,United States
@beyonce,Beyoncé,309,Musician and actress,United States
@khloekardashian,Khloé Kardashian,301,Media personality,United States
@nike,Nike†,299,Sportswear multinational,United States
@lilbieber,Justin Bieber,293,Musician,Canada
@kendalljenner,Kendall Jenner,286,Media personality,United States
@taylorswift,Taylor Swift,282,Musician,United States
@natgeo,National Geographic†,277,Magazine,United States
@virat.kohli,Virat Kohli,273,Cricketer,India
@jlo,Jennifer Lopez,247,Musician and actress,United States
@neymarjr,Neymar,231,Footballer,Brazil
@nickiminaj,Nicki Minaj,224,Musician,Trinidad and Tobago
@kourtneykardash,Kourtney Kardashian,217,Media personality,United States
@mileycyrus,Miley Cyrus,212,Musician and actress,United States
@katyperry,Katy Perry,202,Musician,United States
@realmadrid,Real Madrid CF†,177,Football club,Spain
@zendaya,Zendaya,177,Actress and singer,United States
@kevinhart4real,Kevin Hart,176,Comedian and actor,United States
@iamcardib,Cardi B,163,Musician and actress,United States
@kingjames,LeBron James,158,Basketball player,United States
@ddlovato,Demi Lovato,153,Musician and actress,United States
@badgalriri,Rihanna,149,Musician,Barbados
@chrisbrownofficial,Chris Brown,144,Musician,United States
@fcbarcelona,FC Barcelona†,143,Football club,Spain
@champagnepapi,Drake,142,Musician,Canada
@ellendegeneres,Ellen DeGeneres,135,Former comedian and television host,United States
@k.mbappe,Kylian Mbappé,126,Footballer,France
@billieeilish,Billie Eilish,124,Musician,United States
@championsleague,UEFA Champions League†,121,Club football competition,Europe
@gal_gadot,Gal Gadot,107,Actress,Israel
@lalalalisa_m,Lisa,106,Musician,Thailand
@vindiesel,Vin Diesel,103,Actor,United States
@narendramodi,Narendra Modi,97,Prime Minister of India (2014–present),India
@nasa,NASA†,96.8,Space agency,United States
@shraddhakapoor,Shraddha Kapoor,94.5,Actress,India
@shakira,Shakira,93.9,Musician,Colombia
@priyankachopra,Priyanka Chopra,92.8,Actress,India
@nba,NBA†,90.8,Professional basketball league,United States
@snoopdogg,Snoop Dogg,88.6,Musician,United States
@jennierubyjane,Jennie,88.2,Musician,South Korea
@davidbeckham,David Beckham,88.2,Former footballer,United Kingdom
@dualipa,Dua Lipa,88,Musician,United Kingdom
@aliaabhatt,Alia Bhatt,86.6,Actress,India